title,summary,api_sentiment_score,api_sentiment_label,finbert_probs,finbert_score,finbert_label,error
Jim Cramer Reminds Investors 'Nobody Ever Made A Dime Panicking' After Market Rally Amid Tariff Pause - NVIDIA  ( NASDAQ:NVDA ) ,"After President Donald Trump announced a 90-day pause on most tariffs, U.S. markets soared, prompting CNBC's Jim Cramer to share major lessons to be learned from the recent market chaos. What Happened: Major indices like the Dow, S&P 500, and Nasdaq rebounded significantly after the pause was ...",0.222298,Somewhat-Bullish,"[[0.9091626405715942, 0.03595219552516937, 0.05488510802388191]]",-0.8542775325477123,Bullish,1.0765755325477122
"US Stocks Likely To Open Lower Ahead Of March Inflation Release: Expert Highlights 'Fairly Weak Returns' After 5%+ Gains In S&P 500 - Apple  ( NASDAQ:AAPL ) , Amtech Systems  ( NASDAQ:ASYS ) ",U.S. stock futures were lower on Thursday after staging a stellar recovery on Wednesday after a tariff pause. Futures of major benchmark indices were down in premarket. President Donald Trump attributed the tariff pause to negotiation efforts by roughly 75 non-retaliating nations in a Truth ...,0.145367,Neutral,"[[0.008295504376292229, 0.9734761118888855, 0.018228396773338318]]",0.00993289239704609,Neutral,0.1354341076029539
3 Top Vanguard ETFs to Buy With the S&P 500 in Correction,"With 91 exchange-traded funds ( ETFs ) in its lineup, Vanguard always has an ETF in which you can invest. That's true regardless of what's going on with the economy and the market. Many investors could be apprehensive about buying any fund right now with the S&P 500 ( SNPINDEX: ^GSPC ) down ...",0.284136,Somewhat-Bullish,"[[0.017607256770133972, 0.8369032144546509, 0.14548957347869873]]",0.12788231670856476,Neutral,0.15625368329143524
"Trump's Tariffs Could Push Apple iPhone Prices To A Staggering $3,500, Says Top Analyst - Apple  ( NASDAQ:AAPL ) ","Following President Donald Trump's global tariffs, a leading tech analyst has predicted that Apple Inc. AAPL iPhones could see a significant price hike if manufacturing shifts to the U.S.",0.182397,Somewhat-Bullish,"[[0.7688975930213928, 0.20200467109680176, 0.029097795486450195]]",-0.7397997975349426,Bullish,0.9221967975349427
3 Cheap Tech Stocks to Buy Right Now,"With the recent stock market crash, a number of tech stocks have suddenly gone on sale with attractive valuations. While there remains a lot of uncertainty in the market about what happens now that tariffs have been implemented, these stocks should do well over the long term.Let's look at three ...",0.206823,Somewhat-Bullish,"[[0.4589504897594452, 0.014957285486161709, 0.5260921716690063]]",0.06714168190956116,Bearish,0.13968131809043885
"S&P 500 Records Biggest Surge Since 2008 As Trump Pauses Tariffs: Greed Index Remains In 'Extreme Fear' Zone - Apple  ( NASDAQ:AAPL ) , CarMax  ( NYSE:KMX ) ","The CNN Money Fear and Greed index showed easing in the overall fear level, while the index remained in the ""Extreme Fear"" zone on Wednesday. U.S. stocks settled sharply higher on Wednesday, with the Dow Jones index jumping more than 2,900 points during the session.",0.01219,Neutral,"[[0.9278472065925598, 0.034282386302948, 0.03787040710449219]]",-0.8899767994880676,Bullish,0.9021667994880677
"SPY, QQQ Call Volumes Spiked Minutes Before Tariff Pause Announcement: Alexandria Ocasio-Cortez Demands Disclosure From Congress Members - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ",Alexandria Ocasio-Cortez ( D-N.Y. ) has called for a disclosure by Congress members after observing that the Nasdaq call volume spiked minutes before President Donald Trump's announcement on a tariff pause. What Happened: Trump announced a pause in the tariffs in a Truth Social post around ...,0.09788,Neutral,"[[0.12347915768623352, 0.3090002238750458, 0.5675205588340759]]",0.4440414011478424,Bearish,-0.34616140114784244
"Trump Says 'This Is A Great Time To Buy', But Portfolio Managers Give A Reality Check: 'Permanent Damage Has Been Done' - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ","President Donald Trump indicated a more lenient approach to his trade agenda on Wednesday, leading to a significant rally in the stock market, but portfolio managers and analysts aren't fully convinced.",0.208079,Somewhat-Bullish,"[[0.6260848641395569, 0.2645699381828308, 0.10934525728225708]]",-0.5167396068572998,Bullish,0.7248186068572998
"Vietnam, A Hub For US Tech Giants Like Apple And Nvidia, Wants To Talk Trade After Trump Pauses 46% Tariff - Alphabet  ( NASDAQ:GOOG ) , Apple  ( NASDAQ:AAPL ) ","The U.S. and Vietnam have launched trade negotiations after President Donald Trump paused the implementation of a 46% tariff on Vietnam's exports, a move that could bolster the country's growing tech manufacturing sector.",0.137249,Neutral,"[[0.9377287030220032, 0.022343721240758896, 0.039927612990140915]]",-0.8978010900318623,Bullish,1.0350500900318622
"VERO, X, RDW, AAPL, TSLA: Top 5 Trending Stocks Today - Apple  ( NASDAQ:AAPL ) , Redwire  ( NYSE:RDW ) ","Wall Street experienced a significant upswing today, driven by a surprising announcement from President Donald Trump regarding a temporary pause on tariffs for certain countries. This development led to a broad risk-on rally, propelling major indices to multi-month highs.",0.204314,Somewhat-Bullish,"[[0.9472808837890625, 0.025763031095266342, 0.026956073939800262]]",-0.9203248098492622,Bullish,1.1246388098492623
