Ticker,,,,,
stock,AAPL,AMZN,GOOG,MSFT,NFLX
Date,,,,,
2015-01-09,Neutral,Bearish,Neutral,Neutral,Bearish
2015-01-12,Neutral,Bearish,Bullish,Neutral,Bearish
2015-01-13,Neutral,Bullish,Bullish,Neutral,Bearish
2015-01-14,Neutral,Bearish,Bullish,Neutral,Bearish
2015-01-15,Neutral,Bearish,Bullish,Bullish,Bearish
2015-01-16,Bearish,Bullish,Bullish,Bullish,Bearish
2015-01-20,Bullish,Bearish,Bullish,Bullish,Bearish
2015-01-21,Bearish,Bullish,Bullish,Bullish,Bullish
2015-01-22,Bullish,Bullish,Neutral,Neutral,Bullish
2015-01-23,Bearish,Bearish,Neutral,Neutral,Bullish
2015-01-26,Bearish,Bearish,Neutral,Neutral,Bullish
2015-01-27,Neutral,Bearish,Neutral,Bearish,Bullish
2015-01-28,Neutral,Bearish,Neutral,Bearish,Bearish
2015-01-29,Neutral,Bullish,Neutral,Bearish,Neutral
2015-01-30,Neutral,Neutral,Neutral,Bearish,Neutral
2015-02-02,Neutral,Neutral,Neutral,Bearish,Neutral
2015-02-03,Neutral,Neutral,Neutral,Bearish,Neutral
2015-02-04,Bearish,Neutral,Neutral,Neutral,Neutral
2015-02-05,Bearish,Neutral,Neutral,Neutral,Neutral
2015-02-06,Bearish,Bearish,Bullish,Bullish,Neutral
2015-02-09,Bearish,Bearish,Bullish,Bullish,Neutral
2015-02-10,Bearish,Bullish,Bullish,Bullish,Neutral
2015-02-11,Bullish,Bearish,Bullish,Bullish,Neutral
2015-02-12,Bearish,Bullish,Bullish,Bullish,Neutral
2015-02-13,Bearish,Bullish,Bullish,Bullish,Neutral
2015-02-17,Bearish,Bearish,Bullish,Bullish,Neutral
2015-02-18,Bearish,Bearish,Bullish,Bullish,Neutral
2015-02-19,Bearish,Bullish,Bullish,Bullish,Neutral
2015-02-20,Bearish,Bullish,Bullish,Bullish,Neutral
2015-02-23,Bearish,Bearish,Bullish,Bullish,Neutral
2015-02-24,Bearish,Bearish,Bullish,Bullish,Neutral
2015-02-25,Bearish,Bullish,Bullish,Bullish,Neutral
2015-02-26,Bearish,Bearish,Bullish,Bullish,Neutral
2015-02-27,Bearish,Bearish,Bullish,Bullish,Neutral
2015-03-02,Bearish,Bullish,Bullish,Bullish,Neutral
2015-03-03,Bearish,Bearish,Bullish,Bullish,Neutral
2015-03-04,Bearish,Bearish,Bullish,Bullish,Neutral
2015-03-05,Bearish,Bullish,Bullish,Bullish,Neutral
2015-03-06,Bearish,Bearish,Bullish,Bullish,Neutral
2015-03-09,Bearish,Bearish,Bullish,Bullish,Neutral
2015-03-10,Bearish,Bearish,Bullish,Neutral,Neutral
2015-03-11,Bearish,Bearish,Bullish,Neutral,Neutral
2015-03-12,Bullish,Bullish,Bullish,Neutral,Neutral
2015-03-13,Bearish,Bearish,Bullish,Neutral,Neutral
2015-03-16,Bearish,Bearish,Bullish,Bullish,Neutral
2015-03-17,Bullish,Bearish,Bullish,Bullish,Neutral
2015-03-18,Bearish,Bullish,Bullish,Bullish,Neutral
2015-03-19,Bearish,Bearish,Bullish,Bullish,Neutral
2015-03-20,Bearish,Bullish,Bullish,Bullish,Neutral
2015-03-23,Bearish,Bearish,Bullish,Bullish,Neutral
2015-03-24,Bearish,Bearish,Bullish,Bullish,Neutral
2015-03-25,Bearish,Bearish,Neutral,Neutral,Bearish
2015-03-26,Bearish,Bearish,Neutral,Neutral,Bearish
2015-03-27,Bearish,Bullish,Neutral,Neutral,Bearish
2015-03-30,Bullish,Bullish,Neutral,Bullish,Bearish
2015-03-31,Bearish,Bearish,Bullish,Bullish,Neutral
2015-04-01,Bearish,Bearish,Bullish,Bullish,Neutral
2015-04-02,Bearish,Bullish,Bullish,Bullish,Neutral
2015-04-06,Bullish,Bullish,Bullish,Neutral,Neutral
2015-04-07,Bearish,Bearish,Bullish,Neutral,Neutral
2015-04-08,Bearish,Bullish,Bullish,Neutral,Neutral
2015-04-09,Bearish,Bullish,Bullish,Neutral,Neutral
2015-04-10,Bearish,Bearish,Bullish,Bullish,Neutral
2015-04-13,Bearish,Bearish,Bullish,Bullish,Neutral
2015-04-14,Bearish,Bullish,Bullish,Bullish,Neutral
2015-04-15,Bearish,Bearish,Bullish,Bullish,Neutral
2015-04-16,Bearish,Bullish,Bullish,Bullish,Bullish
2015-04-17,Bearish,Bearish,Neutral,Bullish,Bullish
2015-04-20,Bullish,Neutral,Neutral,Neutral,Bullish
2015-04-21,Bearish,Neutral,Neutral,Neutral,Bullish
2015-04-22,Bearish,Neutral,Neutral,Neutral,Bullish
2015-04-23,Bearish,Neutral,Neutral,Neutral,Neutral
2015-04-24,Bearish,Neutral,Neutral,Bearish,Neutral
2015-04-27,Bearish,Neutral,Neutral,Bearish,Neutral
2015-04-28,Bearish,Neutral,Neutral,Bearish,Neutral
2015-04-29,Bearish,Neutral,Neutral,Bearish,Neutral
2015-04-30,Neutral,Neutral,Neutral,Bearish,Neutral
2015-05-01,Neutral,Bearish,Bullish,Neutral,Neutral
2015-05-04,Neutral,Bearish,Bullish,Neutral,Neutral
2015-05-05,Neutral,Bearish,Bullish,Neutral,Neutral
2015-05-06,Neutral,Bearish,Bullish,Neutral,Neutral
2015-05-07,Bearish,Bullish,Bullish,Neutral,Neutral
2015-05-08,Bullish,Bullish,Bullish,Neutral,Neutral
2015-05-11,Bearish,Bearish,Bullish,Neutral,Neutral
2015-05-12,Bearish,Bearish,Bullish,Neutral,Neutral
2015-05-13,Bearish,Bearish,Bullish,Bullish,Neutral
2015-05-14,Bullish,Bullish,Bullish,Bullish,Neutral
2015-05-15,Bearish,Bearish,Bullish,Bullish,Neutral
2015-05-18,Bearish,Bearish,Bullish,Bullish,Neutral
2015-05-19,Bearish,Bearish,Bullish,Bullish,Neutral
2015-05-20,Bearish,Bullish,Bullish,Bullish,Neutral
2015-05-21,Bearish,Bullish,Bullish,Bullish,Neutral
2015-05-22,Bearish,Bearish,Bullish,Bullish,Neutral
2015-05-26,Bearish,Bearish,Bullish,Bullish,Neutral
2015-05-27,Bullish,Bullish,Bullish,Bullish,Neutral
2015-05-28,Bearish,Bearish,Bullish,Bullish,Neutral
2015-05-29,Bearish,Bullish,Bullish,Bullish,Neutral
2015-06-01,Bearish,Bullish,Bullish,Bullish,Neutral
2015-06-02,Bearish,Bearish,Bullish,Bullish,Neutral
2015-06-03,Bearish,Bullish,Bullish,Bullish,Neutral
2015-06-04,Bearish,Bearish,Bullish,Bullish,Neutral
2015-06-05,Bearish,Bearish,Bullish,Bullish,Neutral
2015-06-08,Bearish,Bearish,Bullish,Bullish,Neutral
2015-06-09,Bearish,Bearish,Bullish,Bullish,Neutral
2015-06-10,Bearish,Bullish,Bullish,Bullish,Neutral
2015-06-11,Bearish,Bullish,Bullish,Bullish,Neutral
2015-06-12,Bearish,Bearish,Bullish,Bullish,Neutral
2015-06-15,Bearish,Bearish,Bullish,Bullish,Neutral
2015-06-16,Bearish,Bullish,Bullish,Bullish,Neutral
2015-06-17,Bearish,Bearish,Bullish,Bullish,Neutral
2015-06-18,Bearish,Bullish,Bullish,Bullish,Neutral
2015-06-19,Bearish,Bearish,Bullish,Bullish,Neutral
2015-06-22,Bearish,Bearish,Bullish,Bullish,Neutral
2015-06-23,Bearish,Bullish,Bullish,Bullish,Neutral
2015-06-24,Bearish,Bearish,Bullish,Bullish,Neutral
2015-06-25,Bearish,Bearish,Bullish,Bullish,Neutral
2015-06-26,Bearish,Bearish,Bullish,Bullish,Neutral
2015-06-29,Bearish,Bearish,Bullish,Bullish,Neutral
2015-06-30,Bearish,Bullish,Bullish,Bullish,Neutral
2015-07-01,Bearish,Bullish,Bullish,Bullish,Neutral
2015-07-02,Bearish,Bearish,Bullish,Bullish,Neutral
2015-07-06,Bearish,Bearish,Bullish,Bullish,Neutral
2015-07-07,Bearish,Bullish,Bullish,Bullish,Neutral
2015-07-08,Bearish,Bearish,Bullish,Bullish,Neutral
2015-07-09,Bearish,Bullish,Bullish,Bullish,Neutral
2015-07-10,Bullish,Bullish,Bullish,Bullish,Neutral
2015-07-13,Bullish,Bullish,Neutral,Bullish,Neutral
2015-07-14,Bearish,Bullish,Neutral,Bullish,Neutral
2015-07-15,Bearish,Bearish,Neutral,Bullish,Neutral
2015-07-16,Bearish,Bullish,Neutral,Bullish,Bullish
2015-07-17,Bearish,Bullish,Bearish,Bullish,Bullish
2015-07-20,Bearish,Bullish,Bearish,Bullish,Bullish
2015-07-21,Bearish,Bearish,Bearish,Bullish,Bullish
2015-07-22,Neutral,Bearish,Bearish,Neutral,Bullish
2015-07-23,Neutral,Bearish,Bearish,Neutral,Neutral
2015-07-24,Neutral,Neutral,Neutral,Neutral,Neutral
2015-07-27,Bearish,Neutral,Neutral,Neutral,Neutral
2015-07-28,Bearish,Neutral,Neutral,Neutral,Neutral
2015-07-29,Bearish,Neutral,Neutral,Neutral,Neutral
2015-07-30,Bearish,Neutral,Neutral,Bullish,Bearish
2015-07-31,Bearish,Bearish,Bullish,Bullish,Bearish
2015-08-03,Bearish,Bearish,Bullish,Bullish,Bearish
2015-08-04,Bearish,Bearish,Bullish,Bullish,Bearish
2015-08-05,Bearish,Bullish,Bullish,Bullish,Bearish
2015-08-06,Bearish,Bearish,Bullish,Bullish,Bearish
2015-08-07,Bearish,Bearish,Neutral,Bullish,Bearish
2015-08-10,Neutral,Bearish,Neutral,Bullish,Bearish
2015-08-11,Neutral,Bullish,Neutral,Bullish,Neutral
2015-08-12,Neutral,Bearish,Neutral,Bullish,Neutral
2015-08-13,Neutral,Bullish,Neutral,Bullish,Neutral
2015-08-14,Neutral,Bullish,Neutral,Bullish,Neutral
2015-08-17,Neutral,Bullish,Neutral,Bullish,Neutral
2015-08-18,Bearish,Bullish,Bullish,Bullish,Neutral
2015-08-19,Bearish,Bearish,Bullish,Bullish,Neutral
2015-08-20,Bearish,Neutral,Neutral,Neutral,Bullish
2015-08-21,Neutral,Neutral,Bearish,Bearish,Bullish
2015-08-24,Neutral,Neutral,Bearish,Bearish,Bullish
2015-08-25,Neutral,Neutral,Bearish,Bearish,Bullish
2015-08-26,Neutral,Neutral,Bearish,Bearish,Bullish
2015-08-27,Neutral,Neutral,Bearish,Bearish,Bullish
2015-08-28,Neutral,Neutral,Bearish,Bearish,Bullish
2015-08-31,Neutral,Neutral,Bearish,Bearish,Bullish
2015-09-01,Neutral,Neutral,Bearish,Bearish,Bullish
2015-09-02,Neutral,Neutral,Neutral,Bearish,Bullish
2015-09-03,Neutral,Neutral,Neutral,Bearish,Bearish
2015-09-04,Neutral,Neutral,Neutral,Bearish,Bearish
2015-09-08,Neutral,Neutral,Neutral,Bearish,Bearish
2015-09-09,Neutral,Bearish,Neutral,Bearish,Bearish
2015-09-10,Neutral,Bearish,Neutral,Neutral,Bearish
2015-09-11,Neutral,Bullish,Bullish,Neutral,Bearish
2015-09-14,Bearish,Bearish,Bullish,Neutral,Bearish
2015-09-15,Bearish,Bearish,Bullish,Neutral,Bearish
2015-09-16,Bearish,Bullish,Bullish,Neutral,Bearish
